task_id,gpt-5-1,gpt-5-1-codex,gpt-5-1-codex-max,gpt-5-2,gpt-devstral,gpt-gemini,gpt-glm,gpt-kimi,gpt-minimax,gpt-opus,gpt-oss-120b,gpt-qwen,gpt-sonnet,claude-opus-4-5,claude-sonnet-4-5,openrouter/anthropic/claude-opus-4.5,openrouter/anthropic/claude-sonnet-4.5,openrouter/google/gemini-3-pro-preview,openrouter/minimax/minimax-m2.1,openrouter/mistralai/devstral-2512:free,openrouter/moonshotai/kimi-k2-thinking,openrouter/openai/gpt-5.2,openrouter/qwen/qwen3-coder-30b-a3b-instruct,openrouter/qwen/qwen3-coder:free,openrouter/z-ai/glm-4.7
alzheimer-mouse,60.0,66.66666666666666,100.0,100.0,25.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,71.42857142857143,100.0,50.0,100.0,100.0,,66.66666666666666,0.0
comparative-genomics,50.0,25.0,0.0,100.0,66.66666666666666,85.71428571428571,50.0,0.0,100.0,100.0,0.0,,100.0,100.0,100.0,100.0,100.0,0.0,87.5,83.33333333333334,80.0,100.0,,50.0,75.0
cystic-fibrosis,0.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,25.0,100.0,0.0,,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,12.5,100.0,100.0,0.0,25.0,100.0
deseq,75.0,100.0,100.0,100.0,0.0,80.0,100.0,75.0,0.0,100.0,0.0,,100.0,100.0,80.0,100.0,100.0,83.33333333333334,100.0,87.5,100.0,100.0,,100.0,75.0
evolution,0.0,50.0,100.0,25.0,,100.0,100.0,83.33333333333334,0.0,100.0,0.0,,100.0,100.0,100.0,100.0,100.0,100.0,40.0,62.5,100.0,0.0,,100.0,100.0
giab,0.0,100.0,16.666666666666664,100.0,,100.0,75.0,40.0,0.0,100.0,16.666666666666664,,100.0,80.0,40.0,33.33333333333333,0.0,100.0,75.0,100.0,0.0,100.0,,100.0,0.0
metagenomics,0.0,75.0,100.0,100.0,,100.0,100.0,83.33333333333334,0.0,100.0,0.0,,25.0,100.0,100.0,100.0,33.33333333333333,100.0,100.0,33.33333333333333,25.0,75.0,,66.66666666666666,100.0
single-cell,100.0,80.0,100.0,100.0,,100.0,100.0,100.0,0.0,100.0,0.0,,100.0,100.0,100.0,100.0,100.0,0.0,25.0,100.0,100.0,100.0,,0.0,100.0
transcript-quant,100.0,100.0,100.0,100.0,,100.0,100.0,100.0,0.0,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,100.0,100.0
viral-metagenomics,0.0,100.0,100.0,100.0,,100.0,100.0,75.0,0.0,100.0,100.0,,100.0,80.0,80.0,100.0,100.0,25.0,75.0,50.0,100.0,100.0,,80.0,100.0
