,run_hash,model,task_id
0,f28bf3fb-edfc-4d7d-b674-cd7f6bb44720,gpt-minimax,viral-metagenomics
1,f4cf17f4-18d6-4141-9972-0ed80e6f72af,gpt-minimax,deseq
2,4f9d4434-3528-40cd-8d32-d5a3e302f258,gpt-5-2,cystic-fibrosis
3,6adc74c6-b3ed-4816-827b-a501b5468fce,gpt-5-2,comparative-genomics
4,c411c70c-ab00-49ad-8121-4b6293c27150,gpt-minimax,comparative-genomics
5,c966fdea-6891-45e3-8165-86cde1dc4c39,gpt-5-2,viral-metagenomics
6,29e26fcb-fc93-4458-bb79-7dd50f08113c,gpt-minimax,single-cell
7,9c55e409-c721-44c9-883c-b7d19733af8a,gpt-5-2,transcript-quant
8,04c96955-48ad-42c9-bba8-2ab778bd51cf,gpt-5-2,transcript-quant
9,fd6c8289-ce53-45cd-a05e-9a699ee1ed9a,gpt-5-2,viral-metagenomics
10,f706e69a-ce68-4325-afcf-ded61ce6160e,gpt-minimax,transcript-quant
11,6dd383fd-8b18-4e99-81ab-b0424020bbc2,gpt-5-2,viral-metagenomics
12,e4392e43-c501-4df7-88ed-0386d7348e53,gpt-5-2,comparative-genomics
13,88642574-4a21-4f59-8220-c15babe75993,gpt-5-2,metagenomics
14,81e8e26a-a2d6-4345-8ac6-15be1f93c1cc,gpt-minimax,single-cell
15,d5168006-9965-4b04-ad5f-d5c56f337f42,gpt-5-2,alzheimer-mouse
16,5fb8d5f9-3466-4bcd-9287-718903b5ec67,gpt-minimax,transcript-quant
17,14905b2e-1b66-4b95-9325-1374265ae533,gpt-5-2,transcript-quant
18,35be20a5-5c65-4620-a041-d70d9ea9092d,gpt-minimax,viral-metagenomics
19,ee78d36a-f45a-4e66-bb1e-2617ad56b0f9,gpt-5-2,evolution
20,5b093bb3-ea43-44cf-8a8b-1e4399e20364,gpt-5-2,viral-metagenomics
21,9b9a6350-c519-469b-bce3-94fb817d04e9,gpt-5-2,comparative-genomics
22,027c8d87-e99f-4d60-b61d-8c0bdf1d0a22,gpt-5-2,deseq
23,96c59f37-da90-4c0d-8967-66ae49b407c4,gpt-5-2,alzheimer-mouse
24,4299992e-cb0a-4569-9d07-522eb99e6ce2,gpt-minimax,deseq
25,f7c57c97-42ee-45d7-a0af-c1ab50fd048e,gpt-minimax,evolution
26,8b99572b-0d2e-43d8-8ec9-3c56a2c066c2,gpt-5-2,alzheimer-mouse
27,01461dd9-146a-447f-b1e3-a284e3579391,gpt-5-2,comparative-genomics
28,6e48c541-a78b-4191-ac05-c9542eb07f6c,gpt-minimax,evolution
29,831e7ed6-ae28-4ed9-87d9-74e1de134778,gpt-minimax,alzheimer-mouse
30,5b05ab6d-d775-4704-ae03-a953f1f682c2,gpt-5-2,alzheimer-mouse
31,7e09e416-2f77-4043-9db8-431bca990719,gpt-minimax,metagenomics
32,bfbd6a48-26ae-402e-91b4-6ddbed76ac22,gpt-5-2,transcript-quant
33,46f80a2a-c3b6-4d93-ad65-aa987d33c8ed,gpt-5-2,single-cell
34,652c4d6d-cfa8-49a3-9f3c-7aa11eecb74a,gpt-5-2,metagenomics
35,a0f4fcbc-3a26-453c-9cc3-075ad50b5485,gpt-minimax,alzheimer-mouse
36,2223294b-9e66-4cc9-8a9f-e956a5a1d4a4,gpt-minimax,comparative-genomics
37,c64861f5-9d56-4ce4-9bea-70e8d85d18b4,gpt-5-2,single-cell
38,3a72f6d2-40a3-4aa2-92d9-20a786efa97b,gpt-5-2,evolution
39,4fcd8ffb-6d89-4110-adb4-0cb1714ce6a5,gpt-5-2,cystic-fibrosis
40,98b1831c-31e0-499f-a12a-fcddaf4cbe22,gpt-minimax,cystic-fibrosis
41,c52e363c-3f7f-41bf-bce6-11010a8832be,gpt-minimax,alzheimer-mouse
42,67d72a27-bdbe-4037-9c01-3e6477203657,gpt-minimax,metagenomics
43,d6d903e2-26e6-4fd8-8468-5ba6394d0fd4,gpt-minimax,metagenomics
44,85dadfa1-cc75-47a8-b88d-664c0c122061,gpt-5-2,deseq
45,3f5ef646-b5e3-47c4-8434-a9c8a148ecd5,gpt-5-2,deseq
46,126e17de-f078-429e-99ea-83e0b3e5b5cf,gpt-5-2,deseq
47,558577e7-4e2c-4f75-9e87-d525cf178458,gpt-5-2,evolution
48,37c1dfe3-8c8a-484a-8200-825f52298ea3,gpt-5-2,metagenomics
49,9e48199f-802f-497a-9ac4-a5eaac612dc7,gpt-5-2,single-cell
50,ae8723e8-88dd-419b-8ce4-09f3a64a70ad,gpt-minimax,viral-metagenomics
51,927ca5f4-d450-49a0-9dbf-75573714718e,gpt-minimax,single-cell
52,102761a4-330e-4038-bdba-046c521f2ab8,gpt-minimax,comparative-genomics
53,f09c3e35-6f86-4f2c-9647-c3214ff1b95b,gpt-minimax,single-cell
54,0688ef75-5223-49ee-b52e-a8f626c5ba32,gpt-5-2,cystic-fibrosis
55,56ce06ea-1c8f-4826-8591-de66745dacce,gpt-minimax,transcript-quant
56,253e8277-d35b-4f3d-9455-1f324043b62c,gpt-5-2,viral-metagenomics
57,51827152-ee9f-4c4a-bf36-c8f5ab03bc1a,gpt-minimax,viral-metagenomics
58,f3ac99e1-2d07-4cbf-b2ca-7e65dbe617af,gpt-5-2,metagenomics
59,83e11433-6186-4744-b263-7e6a35ce82a5,gpt-5-2,comparative-genomics
60,0c314c6d-f0ad-46a6-9785-7a267c60b1ce,gpt-minimax,transcript-quant
61,8dfec35e-c45e-4507-9ad3-f5ad8dc4132d,gpt-minimax,deseq
62,ed081052-c322-4d73-a1e1-da8eb54498f6,gpt-minimax,evolution
63,6d4f2d88-35cf-4e9a-803f-b386b24a47ff,gpt-minimax,viral-metagenomics
64,5bc07915-cafa-4cfb-91fa-4af5ec04ec48,gpt-minimax,cystic-fibrosis
65,6c3321d1-afaa-4827-8ce0-4438a69b30ff,gpt-5-2,evolution
66,77c502d7-7c4b-4578-acfc-1304b63b7f62,gpt-minimax,cystic-fibrosis
67,75344a6b-135e-4f56-8b92-dd086d45bdfd,gpt-minimax,metagenomics
68,bf4e3f0d-7740-4255-a52e-b2d47bf41e9f,gpt-5-2,single-cell
69,f1d8fc0b-5faf-4ba3-8399-a605598a4bd8,gpt-5-2,transcript-quant
70,7634797c-e1af-40c8-943f-5eeecac3a120,gpt-5-2,single-cell
71,20be0b54-65cc-41f7-a297-ea4c2798c5f4,gpt-5-2,alzheimer-mouse
72,36d42e10-41ae-4862-894f-f99d1b2d019c,gpt-minimax,comparative-genomics
73,601ff985-4a74-4408-8b22-26606d0c0fc6,gpt-minimax,deseq
74,7088d891-25d9-4e2c-9983-cfb0dc613ff3,gpt-5-2,evolution
75,7d612db8-a899-468b-8e76-dbefc0d7536e,gpt-minimax,evolution
76,dab32a1d-307c-402a-8e13-e03d90d4dee6,gpt-minimax,alzheimer-mouse
77,770affec-9025-48e9-96b9-090d16f0c1d6,gpt-minimax,deseq
78,40046e19-d8a6-40ae-a5c2-f5320c7ef019,gpt-minimax,transcript-quant
79,2516a206-f5a4-49c7-b07d-f38ff5cf45eb,gpt-minimax,single-cell
80,d782baa4-b173-4686-bce0-0146fd15fe5b,gpt-5-2,cystic-fibrosis
81,5ca41c40-a6e1-4606-91b1-5161475241bd,gpt-minimax,alzheimer-mouse
82,bf0e8900-13e1-4c48-be9f-0335539b41e9,gpt-5-2,cystic-fibrosis
83,a4c28a64-4a0c-4963-8abc-118e1fe9cf7b,gpt-minimax,comparative-genomics
84,6e793e3a-9026-4046-a71b-59bd3dfeedba,gpt-5-2,metagenomics
85,69dc9fa9-8fcd-4db7-83f9-49cc3e1f8403,gpt-minimax,cystic-fibrosis
86,b5b8d3f2-2dd3-4e4c-9ae2-5bda849e9952,gpt-minimax,cystic-fibrosis
87,6b4516fe-2ebd-4ff5-b623-84d522fe811d,gpt-minimax,evolution
88,3d9aea40-126f-4fe0-b784-af413cba6650,gpt-5-2,deseq
89,c7b560af-bad2-4da8-967c-2e4d0b6aae27,gpt-minimax,metagenomics
