# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_bidirectional_gene_fusion	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_gene_fusion	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_transcript_ablation	variants_effect_upstream_gene_variant
AANAT	ENSG00000129673	ENST00000250615	protein_coding	0	0	0	94	0	0	0	0	0	0	0	0	11	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	18
AANAT	ENSG00000129673	ENST00000392492	protein_coding	0	0	0	37	0	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	24
AANAT	ENSG00000129673	ENST00000585649	protein_coding	0	0	0	27	0	0	0	0	0	0	0	0	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	16
AANAT	ENSG00000129673	ENST00000587798	nonsense_mediated_decay	0	0	0	36	0	0	0	0	0	0	0	0	11	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	23
AARSD1	ENSG00000266967	ENST00000416949	processed_transcript	0	0	0	79	0	0	0	0	0	0	0	0	17	0	0	33	0	1	0	0	0	0	0	0	0	0	0	0	0	28
AARSD1	ENSG00000266967	ENST00000427569	protein_coding	0	1	0	99	0	0	0	0	0	0	0	0	20	0	0	51	0	0	0	0	0	0	0	0	0	0	0	1	0	28
AARSD1	ENSG00000266967	ENST00000430739	protein_coding	0	1	0	79	0	1	1	0	0	0	0	0	16	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	28
AARSD1	ENSG00000266967	ENST00000436545	nonsense_mediated_decay	0	2	0	77	0	0	0	0	0	0	0	0	17	0	0	33	0	1	0	0	0	2	0	0	0	0	0	0	0	28
AARSD1	ENSG00000266967	ENST00000441280	retained_intron	0	0	0	79	0	0	0	0	0	0	0	0	16	0	0	33	0	2	0	0	0	0	0	0	0	0	0	0	0	28
AARSD1	ENSG00000266967	ENST00000450475	nonsense_mediated_decay	0	1	0	80	0	1	1	0	0	0	0	0	16	0	0	34	0	1	0	0	0	0	0	0	0	0	0	0	0	28
AARSD1	ENSG00000266967	ENST00000474578	retained_intron	0	0	0	61	0	0	0	0	0	0	0	0	20	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	27
AARSD1	ENSG00000266967	ENST00000478040	retained_intron	0	0	0	44	0	0	0	0	0	0	0	0	14	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	26
AARSD1	ENSG00000266967	ENST00000483535	retained_intron	0	0	0	41	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	26
AARSD1	ENSG00000266967	ENST00000483774	retained_intron	0	0	0	45	0	0	0	0	0	0	0	0	17	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	25
AARSD1	ENSG00000266967	ENST00000486493	retained_intron	0	0	0	61	0	0	0	0	0	0	0	0	20	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	27
AARSD1	ENSG00000266967	ENST00000486664	retained_intron	0	0	0	43	0	0	0	0	0	0	0	0	14	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	25
AARSD1	ENSG00000266967	ENST00000491665	retained_intron	0	1	0	42	0	0	0	0	0	0	0	0	14	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	25
AARSD1	ENSG00000266967	ENST00000492036	retained_intron	0	0	0	63	0	0	0	0	0	0	0	0	25	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	28
AARSD1	ENSG00000266967	ENST00000587023	retained_intron	0	0	0	41	0	0	0	0	0	0	0	0	20	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	18
AARSD1	ENSG00000266967	ENST00000591096	nonsense_mediated_decay	0	0	0	62	0	0	0	0	0	0	0	0	20	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	25
AARSD1	ENSG00000266967	ENST00000591910	nonsense_mediated_decay	0	0	0	79	0	0	0	0	0	0	0	0	16	0	0	34	0	1	0	0	0	0	0	0	0	0	0	0	0	28
AARSD1	ENSG00000266967	ENST00000592136	retained_intron	0	0	0	61	0	0	0	0	0	0	0	0	20	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	27
AARSD1	ENSG00000266967	ENST00000593123	retained_intron	0	0	0	57	0	0	0	0	0	0	0	0	20	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	31
AASS	ENSG00000008311	ENST00000358954	nonsense_mediated_decay	0	0	0	98	1	0	0	0	0	0	0	0	7	0	0	80	0	1	0	0	0	0	0	0	0	0	0	0	0	9
AASS	ENSG00000008311	ENST00000393376	protein_coding	1	0	0	96	1	0	0	0	0	0	0	0	6	1	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	9
AASS	ENSG00000008311	ENST00000417368	protein_coding	1	0	0	118	0	0	0	0	0	0	0	0	7	1	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	13
AASS	ENSG00000008311	ENST00000426162	nonsense_mediated_decay	0	0	0	25	1	0	0	0	0	0	0	0	8	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	9
AASS	ENSG00000008311	ENST00000431170	nonsense_mediated_decay	0	0	0	98	1	0	0	0	0	0	0	0	7	0	0	80	0	1	0	0	0	0	0	0	0	0	0	0	0	9
AASS	ENSG00000008311	ENST00000460376	retained_intron	0	0	0	29	0	0	0	0	0	0	0	0	4	0	0	14	0	5	0	0	0	0	0	0	0	0	0	0	0	6
AASS	ENSG00000008311	ENST00000473553	processed_transcript	0	0	0	119	0	0	0	0	0	0	0	0	6	0	0	98	0	2	0	0	0	0	0	0	0	0	0	0	0	13
AATF	ENSG00000108270	ENST00000225402	protein_coding	72	1	0	173	1	0	1	72	0	0	0	0	9	0	0	157	0	0	0	0	0	0	0	0	0	0	0	1	0	5
AATF	ENSG00000108270	ENST00000586981	retained_intron	64	0	0	27	0	0	0	64	0	0	0	0	9	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	16
AATF	ENSG00000108270	ENST00000587618	processed_transcript	56	0	0	28	0	0	0	56	0	0	0	0	9	0	0	10	0	2	0	0	0	0	0	0	0	0	0	0	0	7
AATF	ENSG00000108270	ENST00000588486	retained_intron	48	0	0	75	0	0	0	48	0	0	0	0	9	0	0	58	0	1	0	0	0	0	0	0	0	0	0	0	0	7
AATF	ENSG00000108270	ENST00000589579	protein_coding	40	1	0	72	0	0	0	40	0	0	0	0	10	0	0	54	0	0	0	0	0	0	0	0	0	0	0	1	0	8
AATF	ENSG00000108270	ENST00000590321	processed_transcript	32	0	0	27	0	0	0	32	0	0	0	0	9	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	15
AATF	ENSG00000108270	ENST00000592219	retained_intron	24	0	0	52	0	0	0	24	0	0	0	0	9	0	0	37	0	1	0	0	0	0	0	0	0	0	0	0	0	5
AATF	ENSG00000108270	ENST00000592751	nonsense_mediated_decay	16	0	0	63	0	0	0	16	0	0	0	0	8	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	5
AATF	ENSG00000108270	ENST00000593084	protein_coding	8	0	0	123	1	0	0	8	0	0	0	0	9	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	7
AATK	ENSG00000181409	ENST00000326724	protein_coding	2	3	5	321	4	0	0	0	0	0	0	0	17	2	0	281	6	0	0	0	0	0	0	0	0	0	0	3	0	19
AATK	ENSG00000181409	ENST00000374792	nonsense_mediated_decay	0	0	0	338	7	0	0	0	0	0	0	0	17	0	0	281	0	14	0	0	0	0	0	0	0	0	0	0	0	19
AATK	ENSG00000181409	ENST00000417379	protein_coding	2	3	5	116	3	0	0	0	0	0	0	0	18	2	0	76	6	0	0	0	0	0	0	0	0	0	0	3	0	19
AATK	ENSG00000181409	ENST00000570932	nonsense_mediated_decay	0	0	0	87	7	0	0	0	0	0	0	0	17	0	0	23	0	8	0	0	0	0	0	0	0	0	0	0	0	32
AATK	ENSG00000181409	ENST00000572339	processed_transcript	0	0	0	74	0	0	0	0	0	0	0	0	25	0	0	31	0	2	0	0	0	0	0	0	0	0	0	0	0	16
AATK	ENSG00000181409	ENST00000572798	processed_transcript	0	0	0	230	0	0	0	0	0	0	0	0	17	0	0	191	0	3	0	0	0	0	0	0	0	0	0	0	0	19
AATK	ENSG00000181409	ENST00000573441	processed_transcript	0	0	0	87	0	0	0	0	0	0	0	0	34	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	38
AATK	ENSG00000181409	ENST00000573469	retained_intron	0	0	0	115	0	0	0	0	0	0	0	0	19	0	0	77	0	3	0	0	0	0	0	0	0	0	0	0	0	16
AATK	ENSG00000181409	ENST00000575363	protein_coding	0	1	0	75	0	0	1	0	0	0	0	0	37	0	0	19	0	0	0	0	0	0	0	0	0	0	0	1	0	18
AATK	ENSG00000181409	ENST00000576053	retained_intron	0	0	0	68	0	0	0	0	0	0	0	0	32	0	0	16	0	4	0	0	0	0	0	0	0	0	0	0	0	16
AATK-AS1	ENSG00000225180	ENST00000414089	antisense	0	0	0	101	0	0	0	0	0	0	0	0	10	0	0	64	0	11	0	0	0	0	0	0	0	0	0	0	0	16
AATK-AS1	ENSG00000225180	ENST00000571031	antisense	0	0	0	100	0	0	0	0	0	0	0	0	12	0	0	62	0	10	0	0	0	0	0	0	0	0	0	0	0	16
